01:49,01:59,Player 4,Player 5,
01:52,02:02,Player 5,Player 1,
01:55,02:06,Player 1,Player 5,Score 2
02:06,02:16,Player 3,Player 2,
02:09,02:19,Player 2,Player 1,Score 2
02:17,02:27,Player 4,Player 1,
02:18,02:28,Player 1,Player 3,
02:24,02:34,Player 3,Player 4,
02:29,02:39,Player 4,Player 5,Score 2
02:37,02:47,Player 3,Player 4,
02:37,02:47,Player 4,Player 2,
02:39,02:49,Player 2,Player 3,
02:53,03:03,Player 2,Player 1,
02:53,03:03,Player 1,Player 3,
03:02,03:13,Player B,Player A,
03:08,03:18,Player 4,Player 2,
03:11,03:21,Player 2,Player 5,Score 2
03:21,03:31,Player 4,Player 3,
03:25,03:35,Player 3,Player 1,
03:29,03:41,Player B,Player A,Score 1
03:29,03:39,Player 1,Player 2,
03:51,04:01,Player C,Player B,
03:54,04:04,Player 2,Player 1,
04:00,04:10,Player B,Player C,
04:05,04:15,Player C,Player B,
04:27,04:37,Player D,Player A,
04:29,04:39,Player A,Player B,
04:40,04:50,Player B,Player C,Score 1
04:47,04:57,Player B,Player A,Score 1
04:54,05:04,Player B,Player E,
05:01,05:11,Player E,Player C,
05:13,05:23,Player C,Player A,
05:18,05:28,Player A,Player E,Score 1
05:35,05:45,Player E,Player C,
05:40,05:50,Player 2,Player 1,
05:42,05:52,Player 1,Player 3,
05:47,05:57,Player C,Player A,Score 1
06:02,06:12,Player C,Player B,
06:07,06:17,Player B,Player D,
06:10,06:20,Player D,Player C,
06:16,06:26,Player C,Player E,
06:22,06:32,Player C,Player B,Score 1
06:30,06:40,Player 3,Player 2,
06:34,06:44,Player 2,Player 4,
06:44,06:54,Player 2,Player 5,
